Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
,,,,,,,,,,,,,,,SMALL STREAM,,,,THUNDERSTORM HAIL,,RAIN DAMAGE,HIGH WIND/HEAVY SNOW,,HIGH WINDS 80,,,,,,,,,,,,,,,THUNDERSTORM WIND 69,,,,,,,,,LIGHT SNOW/FLURRIES,SUMMARY AUGUST 7
,,,,,,,,,,,,,,,SMALL STREAM/URBAN FLOOD,,,,THUNDERSTORM HAIL,,RAIN,MOUNTAIN SNOWS,,HIGH WINDS 82,,,,,,,,,,,,,,,THUNDERSTORM WIND 98 MPH,,,,,,,,,LIGHT SNOW/FREEZING PRECIP,SUMMARY AUGUST 9
,,,,,,,,,,,,,,,SML STREAM FLD,,,,,,RAIN/SNOW,NEAR RECORD SNOW,,HIGH WINDS,,,,,,,,,,,,,,,THUNDERSTORM WIND G50,,,,,,,,,LIGHT SNOWFALL,SUMMARY JAN 17
,,,,,,,,,,,,,,,SNOWMELT FLOODING,,,,,,RAINSTORM,RECORD SNOW,,HIGH WINDS/,,,,,,,,,,,,,,,THUNDERSTORM WIND G51,,,,,,,,,MODERATE SNOW,SUMMARY JULY 23-24
,,,,,,,,,,,,,,,STREAM FLOODING,,,,,,RECORD PRECIPITATION,RECORD SNOW/COLD,,HIGH WINDS/COASTAL FLOOD,,,,,,,,,,,,,,,THUNDERSTORM WIND G52,,,,,,,,,MODERATE SNOWFALL,SUMMARY JUNE 18-19
,,,,,,,,,,,,,,,STREET FLOOD,,,,,,RECORD RAINFALL,RECORD SNOWFALL,,HIGH WINDS/COLD,,,,,,,,,,,,,,,THUNDERSTORM WIND G55,,,,,,,,,SEASONAL SNOWFALL,SUMMARY JUNE 5-6
,,,,,,,,,,,,,,,STREET FLOODING,,,,,,RECORD/EXCESSIVE RAINFALL,RECORD WINTER SNOW,,HIGH WINDS/FLOODING,,,,,,,,,,,,,,,THUNDERSTORM WIND G60,,,,,,,,,SNOW SHOWERS,SUMMARY JUNE 6
,,,,,,,,,,,,,,,URBAN AND SMALL STREAM FLOOD,,,,,,TORRENTIAL RAIN,RECORD MAY SNOW,,MICROBURST WINDS,,,,,,,,,,,,,,,THUNDERSTORM WIND G61,,,,,,,,,SNOW SLEET,SUMMARY OF APRIL 12
,,,,,,,,,,,,,,,URBAN AND SMALL STREAM FLOODIN,,,,,,TORRENTIAL RAINFALL,SNOW ACCUMULATION,,MICROBURST,,,,,,,,,,,,,,,THUNDERSTORM WIND TREES,,,,,,,,,SNOW,SUMMARY OF APRIL 13
,,,,,,,,,,,,,,,URBAN AND SMALL STREAM,,,,,,TSTM HEAVY RAIN               ,SNOW ADVISORY,,STORM FORCE WINDS,,,,,,,,,,,,,,,THUNDERSTORM WIND,,,,,,,,,SNOW/ ICE,SUMMARY OF APRIL 21
